local_polo,campus_id,name,local_bloco_polo,capacidade,id,permite_reserva,informacoes_adicionais,responsavel_ids
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",LABORATORIO DE FISICA,"[1, 'A']",0,139,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",WC FEMININO,"[1, 'A']",0,140,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",WC MASCULINO,"[1, 'A']",0,141,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",LABORATORIO DE EDUCAÇAO FISICA 1,"[1, 'A']",0,142,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA DE PRANCHETAS 1,"[1, 'A']",0,143,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA DE PRANCHETAS 2,"[1, 'A']",0,144,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",LABORATORIO DE EDUCAÇÃO FISICA 2,"[1, 'A']",0,145,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",ALMOXARIFADO,"[1, 'A']",0,146,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",LABORATORIO COMPUTAÇÃO,"[12, 'LABORATORIO CASA VELHA']",0,147,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",WC FEMININO,"[14, 'BLOCO L']",0,148,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",WC MASCULINO,"[14, 'BLOCO L']",0,149,False,False,[]
